BEL Belgium T L7 2013 550
BEL Belgium F L7 2014 61
BEL Belgium M L7 2014 532
BEL Belgium T L7 2014 593
BEL Belgium F L7 2015 19
BEL Belgium M L7 2015 218
BEL Belgium T L7 2015 237
BEL Belgium F L7 2016 32
BEL Belgium M L7 2016 320
BEL Belgium T L7 2016 352
BEL Belgium F L7 2017 54
BEL Belgium M L7 2017 256
BEL Belgium T L7 2017 310
BEL Belgium F L8 2010 6
BEL Belgium M L8 2010 48
BEL Belgium T L8 2010 54
BEL Belgium F L8 2012 5
BEL Belgium M L8 2012 50
BEL Belgium T L8 2012 55
BEL Belgium F L8 2013 8
BEL Belgium M L8 2013 59
BEL Belgium T L8 2013 67
BEL Belgium F L8 2014 7
BEL Belgium M L8 2014 57
BEL Belgium T L8 2014 64
BEL Belgium F L8 2015 0
BEL Belgium M L8 2015 2
BEL Belgium T L8 2015 2
BEL Belgium F L8 2016 0
BEL Belgium M L8 2016 16
BEL Belgium T L8 2016 16
BEL Belgium F L8 2017 1
BEL Belgium M L8 2017 13
BEL Belgium T L8 2017 14
BRA Brazil F L6 2010 7187
BRA Brazil M L6 2010 32173
BRA Brazil T L6 2010 39360
BRA Brazil F L6 2011 6240
BRA Brazil M L6 2011 30527
BRA Brazil T L6 2011 36767
BRA Brazil F L6 2012 6460
BRA Brazil M L6 2012 30806
BRA Brazil T L6 2012 37266
BRA Brazil F L6 2013 5679
BRA Brazil M L6 2013 29570
BRA Brazil T L6 2013 35249
BRA Brazil F L6 2014 5404
BRA Brazil M L6 2014 30156
BRA Brazil T L6 2014 35560
BRA Brazil F L6 2015 5582
BRA Brazil M L6 2015 31882
BRA Brazil T L6 2015 37464
BRA Brazil F L6 2016 5500
BRA Brazil M L6 2016 32443
BRA Brazil T L6 2016 37943
BRA Brazil F L6 2017 5179
BRA Brazil M L6 2017 30662
BRA Brazil T L6 2017 35841
BRA Brazil F L7 2014 205
BRA Brazil M L7 2014 1053
BRA Brazil T L7 2014 1258
BRA Brazil F L7 2015 217
BRA Brazil M L7 2015 1108
BRA Brazil T L7 2015 1325
BRA Brazil F L7 2016 254
BRA Brazil M L7 2016 1226
BRA Brazil T L7 2016 1480
BRA Brazil F L7 2017 232
BRA Brazil M L7 2017 1253
BRA Brazil T L7 2017 1485
BRA Brazil F L8 2014 56
BRA Brazil M L8 2014 168
BRA Brazil T L8 2014 224
BRA Brazil F L8 2015 69
BRA Brazil M L8 2015 220
BRA Brazil T L8 2015 289
BRA Brazil F L8 2016 61
BRA Brazil M L8 2016 271
BRA Brazil T L8 2016 332
BRA Brazil F L8 2017 80
BRA Brazil M L8 2017 330
BRA Brazil T L8 2017 410
CAN Canada F L6 2010 561
CAN Canada M L6 2010 2771
CAN Canada T L6 2010 3332
CAN Canada F L6 2011 672
CAN Canada M L6 2011 2776
CAN Canada T L6 2011 3448
CAN Canada F L6 2012 599
CAN Canada M L6 2012 3018
CAN Canada T L6 2012 3618
CAN Canada F L6 2013 643
CAN Canada M L6 2013 3301
CAN Canada T L6 2013 3944
CAN Canada F L6 2014 683
CAN Canada M L6 2014 2865
CAN Canada T L6 2014 3548
CAN Canada F L6 2015 678
CAN Canada M L6 2015 2869
CAN Canada T L6 2015 3547
CAN Canada F L6 2016 747
CAN Canada M L6 2016 3001
CAN Canada T L6 2016 3747
CAN Canada F L6 2017 928
CAN Canada M L6 2017 3570
CAN Canada T L6 2017 4498
CAN Canada F L7 2010 133
CAN Canada M L7 2010 807
CAN Canada T L7 2010 940
CAN Canada F L7 2011 224
CAN Canada M L7 2011 701
CAN Canada T L7 2011 925
CAN Canada F L7 2012 234
CAN Canada M L7 2012 737
CAN Canada T L7 2012 971
CAN Canada F L7 2013 218
CAN Canada M L7 2013 694
CAN Canada T L7 2013 912
CAN Canada F L7 2014 854
CAN Canada M L7 2014 1042
CAN Canada T L7 2014 1896
CAN Canada F L7 2015 891
CAN Canada M L7 2015 1091
CAN Canada T L7 2015 1982
CAN Canada F L7 2016 958
CAN Canada M L7 2016 1316
CAN Canada T L7 2016 2273
CAN Canada F L7 2017 943
CAN Canada M L7 2017 1170
CAN Canada T L7 2017 2113
CAN Canada F L8 2010 63
CAN Canada M L8 2010 164
CAN Canada T L8 2010 227
CAN Canada F L8 2011 56
CAN Canada M L8 2011 182
CAN Canada T L8 2011 238
CAN Canada F L8 2012 62
CAN Canada M L8 2012 193
CAN Canada T L8 2012 255
CAN Canada F L8 2013 68
CAN Canada M L8 2013 215
CAN Canada T L8 2013 283
CAN Canada F L8 2014 59
CAN Canada M L8 2014 200
CAN Canada T L8 2014 259
CAN Canada F L8 2015 62
CAN Canada M L8 2015 210
CAN Canada T L8 2015 272
CAN Canada F L8 2016 57
CAN Canada M L8 2016 194
CAN Canada T L8 2016 251
CAN Canada F L8 2017 66
CAN Canada M L8 2017 207
CAN Canada T L8 2017 273
CHE Switzerland F L6 2010 99
CHE Switzerland M L6 2010 1286
CHE Switzerland T L6 2010 1385
CHE Switzerland F L6 2011 96
CHE Switzerland M L6 2011 1211
CHE Switzerland T L6 2011 1307
CHE Switzerland F L6 2012 88
CHE Switzerland M L6 2012 1203
CHE Switzerland T L6 2012 1291
CHE Switzerland F L6 2013 96
CHE Switzerland M L6 2013 1321
CHE Switzerland T L6 2013 1417
CHE Switzerland F L6 2014 117
CHE Switzerland M L6 2014 1251
CHE Switzerland T L6 2014 1368
CHE Switzerland F L6 2015 150
CHE Switzerland M L6 2015 1405
CHE Switzerland T L6 2015 1555
CHE Switzerland F L6 2016 125
CHE Switzerland M L6 2016 1480
CHE Switzerland T L6 2016 1605
CHE Switzerland F L6 2017 150
CHE Switzerland M L6 2017 1509
CHE Switzerland T L6 2017 1659
CHE Switzerland F L7 2010 46
CHE Switzerland M L7 2010 369
CHE Switzerland T L7 2010 415
CHE Switzerland F L7 2011 54
CHE Switzerland M L7 2011 338
CHE Switzerland T L7 2011 392
CHE Switzerland F L7 2012 44
CHE Switzerland M L7 2012 355
CHE Switzerland T L7 2012 399
CHE Switzerland F L7 2013 52
CHE Switzerland M L7 2013 355
CHE Switzerland T L7 2013 407
CHE Switzerland F L7 2014 58
CHE Switzerland M L7 2014 389
CHE Switzerland T L7 2014 447
CHE Switzerland F L7 2015 60
CHE Switzerland M L7 2015 310
CHE Switzerland T L7 2015 370
CHE Switzerland F L7 2016 36
CHE Switzerland M L7 2016 279
CHE Switzerland T L7 2016 315
CHE Switzerland F L7 2017 44
CHE Switzerland M L7 2017 349
CHE Switzerland T L7 2017 393
CHE Switzerland F L8 2010 10
CHE Switzerland M L8 2010 90
CHE Switzerland T L8 2010 100
CHE Switzerland F L8 2011 17
CHE Switzerland M L8 2011 79
CHE Switzerland T L8 2011 96
CHE Switzerland F L8 2012 12
CHE Switzerland M L8 2012 125
CHE Switzerland T L8 2012 137
CHE Switzerland F L8 2013 10
CHE Switzerland M L8 2013 71
CHE Switzerland T L8 2013 81
CHE Switzerland F L8 2014 20
CHE Switzerland M L8 2014 96
CHE Switzerland T L8 2014 116
CHE Switzerland F L8 2015 19
CHE Switzerland M L8 2015 103
CHE Switzerland T L8 2015 122
CHE Switzerland F L8 2016 18
CHE Switzerland M L8 2016 102
CHE Switzerland T L8 2016 120
CHE Switzerland F L8 2017 24
CHE Switzerland M L8 2017 119
CHE Switzerland T L8 2017 143
CHL Chile F L6 2013 76
CHL Chile M L6 2013 85
CHL Chile T L6 2013 160
CHL Chile F L6 2014 501
CHL Chile M L6 2014 3800
CHL Chile T L6 2014 4301
CHL Chile F L6 2015 502
CHL Chile M L6 2015 3822
CHL Chile T L6 2015 4323
CHL Chile F L6 2016 555
CHL Chile M L6 2016 3912
CHL Chile T L6 2016 4467
CHL Chile F L6 2017 508
CHL Chile M L6 2017 3800
CHL Chile T L6 2017 4307
CHL Chile F L7 2013 26
CHL Chile M L7 2013 40
CHL Chile T L7 2013 65
CHL Chile F L7 2014 50
CHL Chile M L7 2014 231
CHL Chile T L7 2014 281
CHL Chile F L7 2015 53
CHL Chile M L7 2015 218
CHL Chile T L7 2015 271
CHL Chile F L7 2016 90
CHL Chile M L7 2016 288
CHL Chile T L7 2016 378
CHL Chile F L7 2017 139
CHL Chile M L7 2017 325
CHL Chile T L7 2017 464
CHL Chile F L8 2010 1
CHL Chile M L8 2010 1
CHL Chile T L8 2010 2
CHL Chile F L8 2011 2
CHL Chile M L8 2011 4
CHL Chile T L8 2011 6
CHL Chile F L8 2012 0
CHL Chile M L8 2012 4
CHL Chile T L8 2012 4
CHL Chile F L8 2013 5
CHL Chile M L8 2013 17
CHL Chile T L8 2013 22
CHL Chile F L8 2014 2
CHL Chile M L8 2014 7
CHL Chile T L8 2014 9
CHL Chile F L8 2015 1
CHL Chile M L8 2015 10
CHL Chile T L8 2015 11
CHL Chile F L8 2016 1
CHL Chile M L8 2016 12
CHL Chile T L8 2016 13
CHL Chile F L8 2017 3
CHL Chile M L8 2017 9
CHL Chile T L8 2017 12
COL Colombia F L6 2013 2059
COL Colombia M L6 2013 5371
COL Colombia T L6 2013 7430
COL Colombia F L6 2014 2060
COL Colombia M L6 2014 5466
COL Colombia T L6 2014 7526
COL Colombia F L6 2015 1828
COL Colombia M L6 2015 5579
COL Colombia T L6 2015 7407
COL Colombia F L6 2016 1884
COL Colombia M L6 2016 5961
COL Colombia T L6 2016 7845
COL Colombia F L6 2017 903
COL Colombia M L6 2017 848
COL Colombia T L6 2017 1751
COL Colombia F L7 2013 793
COL Colombia M L7 2013 1384
COL Colombia T L7 2013 2177
COL Colombia F L7 2014 1134
COL Colombia M L7 2014 1737
COL Colombia T L7 2014 2871
COL Colombia F L7 2015 1098
COL Colombia M L7 2015 1871
COL Colombia T L7 2015 2969
COL Colombia F L7 2016 1318
COL Colombia M L7 2016 2240
COL Colombia T L7 2016 3558
COL Colombia F L7 2017 362
COL Colombia M L7 2017 220
COL Colombia T L7 2017 582
COL Colombia F L8 2013 3
COL Colombia M L8 2013 10
